person_id,person_type,activity_id,context,role,years_involved,recognition_level
A26-101831,Applicant,ACT-31,High School,Member,4,School
A26-101831,Applicant,ACT-12,High School,Member,4,State
A26-101831,Applicant,ACT-01,High School,Member,2,School
A26-101831,Applicant,ACT-05,High School,Member,2,None
A26-101831,Applicant,ACT-15,High School,Member,3,None
A26-101831,Applicant,ACT-02,High School,Captain,1,Regional
A26-101831,Applicant,ACT-36,High School,Member,3,School
A26-104099,Applicant,ACT-08,High School,Member,3,Regional
A26-104099,Applicant,ACT-15,High School,Member,3,Regional
A26-104099,Applicant,ACT-19,High School,Member,1,Regional
A26-104099,Applicant,ACT-17,High School,Member,3,School
A26-104099,Applicant,ACT-04,High School,Member,2,Regional
A26-101372,Applicant,ACT-11,High School,Founder,1,None
A26-101372,Applicant,ACT-21,High School,Member,3,State
A26-101372,Applicant,ACT-12,High School,Member,2,School
A26-101372,Applicant,ACT-09,High School,Member,4,School
A26-101372,Applicant,ACT-17,High School,Member,1,School
A26-101372,Applicant,ACT-06,High School,President,1,None
A26-107738,Applicant,ACT-12,High School,Member,3,School
A26-107738,Applicant,ACT-15,High School,Member,3,None
A26-107738,Applicant,ACT-17,High School,Member,1,State
A26-104952,Applicant,ACT-23,High School,Captain,1,School
A26-104952,Applicant,ACT-12,High School,Member,3,None
A26-104952,Applicant,ACT-09,High School,Member,3,State
A26-104952,Applicant,ACT-08,High School,Member,1,None
A26-107233,Applicant,ACT-10,High School,Member,2,State
A26-107233,Applicant,ACT-06,High School,Captain,1,None
A26-107233,Applicant,ACT-15,High School,Member,3,None
A26-104658,Applicant,ACT-09,High School,Member,4,School
A26-104658,Applicant,ACT-05,High School,Member,2,None
A26-104658,Applicant,ACT-04,High School,Member,2,Regional
A26-104658,Applicant,ACT-24,High School,Founder,4,School
A26-104061,Applicant,ACT-05,High School,Founder,1,Regional
A26-104061,Applicant,ACT-23,High School,Member,3,None
A26-104061,Applicant,ACT-31,High School,Member,1,State
A26-102717,Applicant,ACT-17,High School,Member,1,None
A26-102717,Applicant,ACT-12,High School,Officer,4,None
A26-102717,Applicant,ACT-30,High School,President,1,None
A26-104585,Applicant,ACT-06,High School,Member,4,None
A26-104585,Applicant,ACT-01,High School,Member,3,School
A26-104585,Applicant,ACT-12,High School,Member,1,School
A26-104563,Applicant,ACT-12,High School,President,4,School
A26-104563,Applicant,ACT-11,High School,Captain,3,Regional
A26-104563,Applicant,ACT-17,High School,Officer,1,State
A26-104563,Applicant,ACT-30,High School,Member,1,School
A26-105629,Applicant,ACT-16,High School,Member,1,None
A26-105629,Applicant,ACT-12,High School,Member,3,None
A26-105629,Applicant,ACT-08,High School,Member,2,None
A26-105629,Applicant,ACT-19,High School,Officer,1,None
A26-104470,Applicant,ACT-23,High School,Member,4,School
A26-104470,Applicant,ACT-21,High School,Member,2,None
A26-104470,Applicant,ACT-03,High School,Member,2,None
A26-107326,Applicant,ACT-23,High School,Officer,4,None
A26-107326,Applicant,ACT-05,High School,Member,3,Regional
A26-107326,Applicant,ACT-06,High School,Officer,4,None
A26-106135,Applicant,ACT-28,High School,Member,3,None
A26-106135,Applicant,ACT-12,High School,Member,3,None
A26-106135,Applicant,ACT-22,High School,Captain,4,None
A26-103800,Applicant,ACT-25,High School,Member,2,Regional
A26-103800,Applicant,ACT-23,High School,Member,2,None
A26-103800,Applicant,ACT-06,High School,Member,3,None
A26-103800,Applicant,ACT-17,High School,Member,3,School
A26-103800,Applicant,ACT-12,High School,Member,4,Regional
A26-107350,Applicant,ACT-23,High School,Officer,3,School
A26-107350,Applicant,ACT-13,High School,President,3,None
A26-107350,Applicant,ACT-09,High School,Founder,2,None
A26-107350,Applicant,ACT-15,High School,Member,3,School
A26-107350,Applicant,ACT-29,High School,Member,3,None
A26-100231,Applicant,ACT-29,High School,Officer,2,None
A26-100231,Applicant,ACT-23,High School,President,1,School
A26-100231,Applicant,ACT-27,High School,Member,1,School
A26-100231,Applicant,ACT-01,High School,Member,4,School
A26-100231,Applicant,ACT-15,High School,Captain,3,Regional
A26-107905,Applicant,ACT-08,High School,Member,3,School
A26-107905,Applicant,ACT-02,High School,Member,4,State
A26-107905,Applicant,ACT-24,High School,Member,3,State
A26-107905,Applicant,ACT-31,High School,Officer,2,None
A26-107905,Applicant,ACT-05,High School,Member,4,School
A26-107905,Applicant,ACT-28,High School,Member,4,None
A26-107905,Applicant,ACT-35,High School,Member,4,Regional
A26-106379,Applicant,ACT-06,High School,Member,1,School
A26-106379,Applicant,ACT-22,High School,Member,3,Regional
A26-106379,Applicant,ACT-15,High School,Member,3,None
A26-106379,Applicant,ACT-03,High School,Officer,1,School
A26-106379,Applicant,ACT-27,High School,Member,2,State
A26-102685,Applicant,ACT-31,High School,Officer,3,None
A26-102685,Applicant,ACT-23,High School,Member,1,None
A26-102685,Applicant,ACT-13,High School,Officer,2,None
