alum_id,cohort_year,entry_academic_rating,entry_hs_gpa_recalc,entry_testing_policy,entry_sat_total,entry_region,entry_hs_type,entry_first_generation,entry_family_income_band,entry_institutional_aid,entry_intended_school,entry_intended_major,entry_athletic_recruit_sport,entry_demonstrated_interest_rating,final_school,final_major,first_year_gpa,final_cum_gpa,gpa_delta,retained_year2,graduated_4yr,graduated_6yr,academic_probation_ever,major_changes,leadership_roles_count,varsity_seasons,team_captain,honors_thesis,latin_honors,internships_count,study_abroad,postgrad_status_6mo,success_attainment,success_growth,success_completion,success_contribution,exemplar_flag,success_composite_tier
L2019-10000,2019,2,3.25,Submitted,1200,West,Public,N,$100K - $149K,13700,College of Arts & Sciences,History,,2,College of Arts & Sciences,Chemistry,2.85,3.18,0.33,Y,Y,Y,Y,0,0,0,N,N,N,0,N,Graduate or professional school,0.672,0.7624,0.85,0.0,N,Tier 3 - Solid
L2020-10001,2020,4,3.85,Submitted,1320,International,Public,N,$60K - $99K,41700,School of Business,Accounting,,2,School of Business,Accounting,3.23,3.41,0.18,Y,Y,Y,Y,3,3,0,N,N,N,1,Y,Graduate or professional school,0.764,0.6139,0.85,0.5455,Y,Tier 2 - Strong
L2021-10002,2021,4,4.02,Submitted,1430,West,Charter,N,$100K - $149K,8900,School of Engineering,Civil Engineering,Track & Field,5,School of Engineering,Computer Science,2.98,2.91,-0.07,Y,N,Y,N,2,1,4,N,Y,N,0,N,Employed full-time,0.564,0.3663,0.6,0.4545,N,Tier 4 - Struggled
L2022-10003,2022,2,3.38,Submitted,1210,International,Parochial,N,$100K - $149K,27200,College of Arts & Sciences,Psychology,,3,College of Arts & Sciences,Psychology,2.64,2.76,0.12,Y,Y,Y,N,1,1,0,N,N,N,0,N,Employed full-time,0.504,0.5545,1.0,0.1818,N,Tier 3 - Solid
L2023-10004,2023,3,3.60,Submitted,1280,International,Public,N,$60K - $99K,38400,School of Business,Business Analytics,,3,School of Business,Business Analytics,2.65,2.71,0.06,Y,Y,Y,N,1,2,0,N,N,N,1,N,Graduate or professional school,0.484,0.495,1.0,0.3636,N,Tier 3 - Solid
L2024-10005,2024,2,3.47,Test Optional,,South,Public,N,$60K - $99K,13700,College of Arts & Sciences,Chemistry,,3,College of Arts & Sciences,Chemistry,2.32,2.50,0.18,Y,N,Y,N,2,1,0,N,N,N,0,N,Unknown,0.4,0.6139,0.6,0.1818,N,Tier 4 - Struggled
L2025-10006,2025,2,3.39,Test Optional,,Mid-Atlantic,Public,N,$60K - $99K,41600,College of Arts & Sciences,Undeclared,,4,College of Arts & Sciences,Undeclared,3.00,3.01,0.01,Y,Y,Y,N,0,1,0,N,N,N,2,Y,Unknown,0.604,0.4455,1.0,0.1818,N,Tier 3 - Solid
L2019-10007,2019,4,3.99,Submitted,1480,Midwest,Public,N,$250K and above,40300,School of Nursing & Health,Health Administration,Football,3,School of Nursing & Health,Health Administration,3.46,3.88,0.42,Y,N,Y,N,2,2,4,Y,N,Y,1,N,Graduate or professional school,0.952,0.8515,0.6,0.6364,Y,Tier 1 - Thrived
L2020-10008,2020,3,3.57,Submitted,1330,Mid-Atlantic,Public,N,$250K and above,17100,College of Arts & Sciences,Communication,,3,College of Arts & Sciences,Communication,3.97,4.00,0.03,Y,Y,Y,N,0,0,0,N,N,Y,4,Y,Unknown,1.0,0.4653,1.0,0.0,N,Tier 3 - Solid
L2021-10009,2021,1,3.16,Test Optional,,West,Public,N,$30K - $59K,23900,College of Arts & Sciences,Environmental Science,,1,College of Arts & Sciences,Environmental Science,2.65,2.57,-0.08,Y,Y,Y,Y,2,0,0,N,N,N,2,N,Employed full-time,0.428,0.3564,0.85,0.0,N,Tier 4 - Struggled
