person_id,person_type,club_id,relationship,interest_signal,signal_strength,club_role,years_active
A26-101831,Applicant,CLB-05,INTERESTED_IN,Essay Mention,Passive,,
A26-104099,Applicant,CLB-19,INTERESTED_IN,Application Checkbox,Explicit,,
A26-104099,Applicant,CLB-10,INTERESTED_IN,Essay Mention,Explicit,,
A26-101372,Applicant,CLB-11,INTERESTED_IN,Info Session Topic,Passive,,
A26-104952,Applicant,CLB-10,INTERESTED_IN,Portal Click,Sustained,,
A26-104952,Applicant,CLB-09,INTERESTED_IN,Portal Click,Passive,,
A26-104952,Applicant,CLB-11,INTERESTED_IN,Essay Mention,Explicit,,
A26-107233,Applicant,CLB-13,INTERESTED_IN,Campus Visit Meeting,Sustained,,
A26-107233,Applicant,CLB-17,INTERESTED_IN,Application Checkbox,Passive,,
A26-107233,Applicant,CLB-09,INTERESTED_IN,Portal Click,Sustained,,
A26-107233,Applicant,CLB-32,INTERESTED_IN,Info Session Topic,Explicit,,
A26-104658,Applicant,CLB-24,INTERESTED_IN,Essay Mention,Explicit,,
A26-104658,Applicant,CLB-11,INTERESTED_IN,Portal Click,Sustained,,
A26-104061,Applicant,CLB-05,INTERESTED_IN,Counsellor Note,Explicit,,
A26-104061,Applicant,CLB-23,INTERESTED_IN,Info Session Topic,Explicit,,
A26-102717,Applicant,CLB-19,INTERESTED_IN,Info Session Topic,Explicit,,
A26-102717,Applicant,CLB-33,INTERESTED_IN,Application Checkbox,Explicit,,
A26-102717,Applicant,CLB-09,INTERESTED_IN,Portal Click,Passive,,
A26-104585,Applicant,CLB-14,INTERESTED_IN,Campus Visit Meeting,Explicit,,
A26-104585,Applicant,CLB-39,INTERESTED_IN,Portal Click,Explicit,,
A26-104563,Applicant,CLB-14,INTERESTED_IN,Application Checkbox,Passive,,
A26-104563,Applicant,CLB-40,INTERESTED_IN,Portal Click,Explicit,,
A26-104470,Applicant,CLB-22,INTERESTED_IN,Essay Mention,Explicit,,
A26-104470,Applicant,CLB-03,INTERESTED_IN,Portal Click,Sustained,,
A26-104470,Applicant,CLB-23,INTERESTED_IN,Essay Mention,Passive,,
A26-107326,Applicant,CLB-23,INTERESTED_IN,Info Session Topic,Passive,,
A26-106135,Applicant,CLB-14,INTERESTED_IN,Essay Mention,Passive,,
A26-106135,Applicant,CLB-27,INTERESTED_IN,Essay Mention,Passive,,
A26-103800,Applicant,CLB-36,INTERESTED_IN,Application Checkbox,Passive,,
A26-107350,Applicant,CLB-11,INTERESTED_IN,Portal Click,Passive,,
A26-107350,Applicant,CLB-15,INTERESTED_IN,Portal Click,Passive,,
A26-107350,Applicant,CLB-17,INTERESTED_IN,Application Checkbox,Passive,,
A26-107350,Applicant,CLB-23,INTERESTED_IN,Info Session Topic,Passive,,
A26-107905,Applicant,CLB-05,INTERESTED_IN,Essay Mention,Explicit,,
A26-107905,Applicant,CLB-10,INTERESTED_IN,Portal Click,Explicit,,
A26-102685,Applicant,CLB-02,INTERESTED_IN,Info Session Topic,Sustained,,
A26-102685,Applicant,CLB-15,INTERESTED_IN,Portal Click,Passive,,
A26-102685,Applicant,CLB-23,INTERESTED_IN,Campus Visit Meeting,Explicit,,
A26-108183,Applicant,CLB-39,INTERESTED_IN,Application Checkbox,Sustained,,
A26-108183,Applicant,CLB-01,INTERESTED_IN,Essay Mention,Explicit,,
A26-100496,Applicant,CLB-41,INTERESTED_IN,Portal Click,Explicit,,
A26-105456,Applicant,CLB-39,INTERESTED_IN,Application Checkbox,Explicit,,
A26-105456,Applicant,CLB-03,INTERESTED_IN,Application Checkbox,Passive,,
A26-101064,Applicant,CLB-11,INTERESTED_IN,Essay Mention,Sustained,,
A26-101758,Applicant,CLB-10,INTERESTED_IN,Counsellor Note,Explicit,,
A26-102958,Applicant,CLB-14,INTERESTED_IN,Portal Click,Explicit,,
A26-103682,Applicant,CLB-06,INTERESTED_IN,Application Checkbox,Explicit,,
A26-103682,Applicant,CLB-14,INTERESTED_IN,Portal Click,Sustained,,
A26-103682,Applicant,CLB-11,INTERESTED_IN,Essay Mention,Explicit,,
A26-104700,Applicant,CLB-32,INTERESTED_IN,Essay Mention,Sustained,,
A26-104700,Applicant,CLB-23,INTERESTED_IN,Application Checkbox,Passive,,
A26-104700,Applicant,CLB-02,INTERESTED_IN,Essay Mention,Passive,,
A26-107163,Applicant,CLB-05,INTERESTED_IN,Portal Click,Sustained,,
A26-103190,Applicant,CLB-17,INTERESTED_IN,Info Session Topic,Sustained,,
A26-103190,Applicant,CLB-03,INTERESTED_IN,Info Session Topic,Sustained,,
A26-100268,Applicant,CLB-09,INTERESTED_IN,Portal Click,Passive,,
A26-100268,Applicant,CLB-23,INTERESTED_IN,Info Session Topic,Explicit,,
A26-105117,Applicant,CLB-03,INTERESTED_IN,Application Checkbox,Explicit,,
A26-105117,Applicant,CLB-23,INTERESTED_IN,Portal Click,Passive,,
A26-106255,Applicant,CLB-15,INTERESTED_IN,Portal Click,Sustained,,
A26-106255,Applicant,CLB-32,INTERESTED_IN,Campus Visit Meeting,Explicit,,
A26-106255,Applicant,CLB-39,INTERESTED_IN,Portal Click,Passive,,
A26-102652,Applicant,CLB-23,INTERESTED_IN,Essay Mention,Passive,,
A26-102652,Applicant,CLB-05,INTERESTED_IN,Campus Visit Meeting,Passive,,
A26-105157,Applicant,CLB-22,INTERESTED_IN,Portal Click,Sustained,,
A26-105157,Applicant,CLB-29,INTERESTED_IN,Campus Visit Meeting,Explicit,,
A26-103923,Applicant,CLB-13,INTERESTED_IN,Counsellor Note,Explicit,,
A26-103923,Applicant,CLB-01,INTERESTED_IN,Info Session Topic,Passive,,
A26-103923,Applicant,CLB-17,INTERESTED_IN,Info Session Topic,Passive,,
A26-105593,Applicant,CLB-38,INTERESTED_IN,Info Session Topic,Explicit,,
A26-103907,Applicant,CLB-14,INTERESTED_IN,Portal Click,Passive,,
A26-103907,Applicant,CLB-01,INTERESTED_IN,Campus Visit Meeting,Passive,,
A26-106304,Applicant,CLB-14,INTERESTED_IN,Campus Visit Meeting,Explicit,,
A26-106304,Applicant,CLB-22,INTERESTED_IN,Portal Click,Passive,,
A26-101164,Applicant,CLB-08,INTERESTED_IN,Application Checkbox,Explicit,,
A26-101164,Applicant,CLB-07,INTERESTED_IN,Info Session Topic,Explicit,,
A26-101164,Applicant,CLB-05,INTERESTED_IN,Essay Mention,Sustained,,
A26-103330,Applicant,CLB-14,INTERESTED_IN,Campus Visit Meeting,Sustained,,
A26-102377,Applicant,CLB-11,INTERESTED_IN,Info Session Topic,Passive,,
A26-102377,Applicant,CLB-39,INTERESTED_IN,Portal Click,Explicit,,
A26-104374,Applicant,CLB-39,INTERESTED_IN,Application Checkbox,Explicit,,
A26-104374,Applicant,CLB-23,INTERESTED_IN,Portal Click,Sustained,,
A26-104374,Applicant,CLB-17,INTERESTED_IN,Essay Mention,Explicit,,
A26-100879,Applicant,CLB-01,INTERESTED_IN,Application Checkbox,Passive,,
A26-100879,Applicant,CLB-40,INTERESTED_IN,Campus Visit Meeting,Explicit,,
A26-100879,Applicant,CLB-19,INTERESTED_IN,Portal Click,Explicit,,
A26-100879,Applicant,CLB-39,INTERESTED_IN,Campus Visit Meeting,Sustained,,
A26-102678,Applicant,CLB-14,INTERESTED_IN,Essay Mention,Explicit,,
A26-102678,Applicant,CLB-01,INTERESTED_IN,Portal Click,Explicit,,
A26-102678,Applicant,CLB-13,INTERESTED_IN,Info Session Topic,Explicit,,
A26-102678,Applicant,CLB-39,INTERESTED_IN,Info Session Topic,Explicit,,
A26-105349,Applicant,CLB-23,INTERESTED_IN,Portal Click,Passive,,
A26-105349,Applicant,CLB-17,INTERESTED_IN,Portal Click,Passive,,
A26-100374,Applicant,CLB-01,INTERESTED_IN,Portal Click,Explicit,,
A26-100374,Applicant,CLB-02,INTERESTED_IN,Application Checkbox,Explicit,,
A26-101119,Applicant,CLB-25,INTERESTED_IN,Portal Click,Explicit,,
A26-101119,Applicant,CLB-37,INTERESTED_IN,Essay Mention,Passive,,
A26-100126,Applicant,CLB-41,INTERESTED_IN,Info Session Topic,Passive,,
A26-106730,Applicant,CLB-17,INTERESTED_IN,Application Checkbox,Explicit,,
A26-100212,Applicant,CLB-44,INTERESTED_IN,Essay Mention,Passive,,
A26-100212,Applicant,CLB-14,INTERESTED_IN,Portal Click,Passive,,
A26-106812,Applicant,CLB-22,INTERESTED_IN,Info Session Topic,Explicit,,
A26-100138,Applicant,CLB-33,INTERESTED_IN,Application Checkbox,Explicit,,
A26-100138,Applicant,CLB-17,INTERESTED_IN,Application Checkbox,Passive,,
A26-100138,Applicant,CLB-13,INTERESTED_IN,Application Checkbox,Passive,,
A26-101874,Applicant,CLB-10,INTERESTED_IN,Application Checkbox,Passive,,
A26-101874,Applicant,CLB-24,INTERESTED_IN,Portal Click,Explicit,,
A26-102283,Applicant,CLB-14,INTERESTED_IN,Application Checkbox,Passive,,
A26-102283,Applicant,CLB-25,INTERESTED_IN,Campus Visit Meeting,Explicit,,
